index,tconst,originalTitle,genres,averageRating,numVotes,URL,poster,youtube,keywords,nas
10,tt0108052,Schindler's List,"Biography,Drama,History",8.9,1147611,https://www.imdb.com/title/tt0108052/?ref_=hm_hp_cap_pri_1),"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",urlnotfound,accountant champagne villa womanizer soap shaving gratitude manicure marriage diamond german engineer doctor louse snow investor bathtub holocaust worker list wedding businessman factory uniform barrack shower railway secretary infestation prisoner field architect emaciation starvation widow violence typewriter ruthlessness murder rescue forgiveness honor cruelty hero urination ring piano maid hanging guilt conscience compassion cemetery candle ash racism death ghetto freezing pistol swastika suitcase liberation sadist psychopath splatter present cry hate friendship hope prologue mirror industrialist blood rabbi redemption coat masterpiece controversy genocide epic water outhouse blockbuster,CA en 9.0
11,tt0172495,Gladiator,"Action,Adventure,Drama",8.5,1269726,https://www.imdb.com/title/tt0172495/?ref_=hm_hp_cap_pri_1),"https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.youtube.com/embed/l-kV68xPVnM,gladiator slavery combat battlefield blood spear crucifixion violence rape emperor general death revenge senate senator escape murder arena prisoner soldier legion army encampment loyalty trust trident mace training captive antiquity politics barbarian warrior afterlife chariot betrayal arrest archery hanging battle decapitation corruption slave banner caravan strength underdog axe hero heroine assassination villain epic centurion son power dying game popularity successor philosopher home wife imprisonment crowd procession singing crown bow fame hail depravity debauchery whip destruction conquest document salute slaughter river poison cheating statue vindication retribution coliseum spectacle contract chanting entertainment skirt campaign vision hate failure sobbing veil plague protocol court mistress scroll medal cruelty devotion courage scarf wisdom ambition justice triumph journey olive grape apple speech crop jasmine applause envoy messenger butcher blade deserter practice fight frost incest carriage victory bloodshed placard lion cage hallucination child fire sun hug injury wound slap refusal archer infantry gold cape bandage native insignia brutality prayer ancestor savagery survival survivor arrow flag horse flying lance fur armor god republic tyrant homesickness reward peace farmer tent enemy ring surrealism stadium jealousy redemption suffocation widow vengeance sword stabbing patricide helmet gore dungeon crossbow catapult gambling nephew regicide freedom tiger honor dismemberment impalement leadership mutilation blockbuster empire map shield torch cobra elephant camel giraffe tattoo desert imagery snake forest dog parade,CA en 8.0
12,tt0071562,The Godfather: Part II,"Crime,Drama",9,1061352,https://www.imdb.com/title/tt0071562/?ref_=hm_hp_cap_pri_1),"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY268_CR3,0,182,268_AL_.jpg",https://www.youtube.com/embed/TEmLGsh4HpM&list=PLBVGO9O5iPhEPdE2w_Jv5Sxv123BzwOqK,revenge melancholy blood drunkenness brutality fratricide catholic suicide bondage masterpiece business traitor casino murder hotel assassination death weapon woman sepia alienation nostalgia symbolism scapegoat wrath suspense scream pain melodrama jealousy frustration fear disappointment mercilessness surprise sadness sadism interrogation happiness garrote fondling drinking desire cry cruelty bitterness attraction anger affection abuse informer immigrant gangster corruption assassin shotgun bribe tragedy perjury brothel bar burglary blockbuster bribery strangulation quarantine escape c immigration betrayal eviction blackmail senator orphan honor village prostitution wake sequel revolution extortion power abortion festival stabbing violence divorcee epic home godfather rug night garden doubt bedroom apartment poverty room memory love kitchen friend friendship dancing brunette bathtub theater landlord backstage party pool steamship boat motorboat hospital airport fishing,JP en 9.0
13,tt0102926,The Silence of the Lambs,"Crime,Drama,Thriller",8.6,1193803,https://www.imdb.com/title/tt0102926/?ref_=hm_hp_cap_pri_1),"https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.youtube.com/embed/V5dA92wqmME,psychopath well psychologist cannibal suicide homosexuality basket hose psychoanalysis psychology murder brutality corpse transvestism cannibalism sequel suspense dog mannequin cat lipstick psychiatrist agent prison graduation bucket hostage revolver academy terror starvation effeminacy masturbation disembowelment violence pursuit maniac investigation escape gore villain mutilation handcuff heroine rescue blockbuster police revenge ambulance semen detective orphan autopsy wake flirting mask senator u museum training couch friendship courthouse airplane c sewing cocoon drugstore airport library chess anagram elevator basement,XWW en 9.0
14,tt1853728,Django Unchained,"Drama,Western",8.4,1274139,https://www.imdb.com/title/tt1853728/?ref_=hm_hp_cap_pri_1),"https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.youtube.com/embed/HKbEC3UyKjY,sadism slavery dynamite dentist testicle liar chain chase derringer dog torture bullwhip whipping castration massacre blood violence revenge slave german freedom rescue plantation deputy winter duo money reward escape horse farm hammer weapon woman globe mayhem candelabra hallucination sharpshooter spyglass cage bath bathtub shooting apology tear fear lie promise knife outlaw drink drinking bartender cabin robbery birthday bourbon tea servant search tequila marriage eating food storytelling sunglass limping cry mountain lawyer song singing singer pursuit judge gun coward death whip spitting sadist shotgun shadow canteen snowshoe warrant alias lantern interrogation deception fire torch fight brawl sniper letter hostage beating gambling bar barn training forest wood explosion ambush pistol revolver kiss skull u sheriff rifle snow murder partnership racism valet campfire funeral montage exploitation mauling gore saloon,CA en 8.0
15,tt0076759,Star Wars,"Action,Adventure,Fantasy",8.6,1175760,https://www.imdb.com/title/tt0076759/?ref_=hm_hp_cap_pri_1),"https://m.media-amazon.com/images/M/MV5BNzVlY2MwMjktM2E4OS00Y2Y3LWE3ZjctYzhkZGM3YzA1ZWM2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.youtube.comhttps://www.googleadservices.com/pagead/aclk?sa=L&ai=CDqsmBcOJXqSwAoiKpwOxirXQCrfam7dcnvbF08ALwI23ARABIABgyQaCARdjYS1wdWItNjIxOTgxMTc0NzA0OTM3MagDBKoE_QFP0KSC8zYCcrx2qC_KxDCTsZDdeYHyOluFZ5p-InO-_MFz5nEhlP9CmHCQOsk1hRMwo3fe_Shm_vUFEeCkGWznPqUL4WhTLbJNh-Aso1oqHLLbzkQrxmaluzj3c2JcjhpKKtC8cCpwJLjZlii4LYJi-6G9umvDCEcSqpRVWhcc31NrSo__qFz3zNUY0vQUlZnRFiMlagg_LbaUfuBDEkBB-KvwddPItY64uSvQteUTynqXZ2-UFJ_UBLhL_3J3TftESF76ez4lD2iZlj4El0ym8h7oOrq6YqSdXcexRSATRgki9ZJ79JpAafjnvzBlq6t2uXJn2-s0yFZ8SrXLkgUMCBIwkK295KfR0u1FkgUICBN47qrauQGgBlWAB9eTurkBkAcEqAeo0huoB7YHqAfgzxuoB-nUG6gHttcbqAeMzRuoB_DZG6gH8tkbqAfVzhuoB4HGG6gHmM4bqAerxRuoB97OG6gHv9UbqAfC2huSCAtSZHRLaW55UFZwQdIICAiAwYCgAhABsQmztmOMXjRaMsgJF5gLAboLFggDEAMYBiAGKAEwBUABSABYC2AAaAC4E____________wGwFAPAFQHYFQE&num=1&cid=CAASFeRoIB-F7O2sFYH9AghwC3jSiUi6dg&sig=AOD64_17IcDCn68aH5D6SedFbsck9Gb5Lw&adurl=https://www.youtube.com/watch%3Fv%3DRdtKinyPVpA&ctype=21&video_id=RdtKinyPVpA&client=ca-pub-6219811747049371,rebellion princess duel spaceship empire smuggler elevator sunset interrogation helmet hero robot rescue desert weapon controversy emperor prisoner battle combat alien epic anger kiss cloak skeleton telekinesis escape extraterrestrial computer strangulation monster courage disguise prison underdog saga galaxy planet farm farmer hermit bar medal canyon cantina band chase reward governor general rebel attack soldier sword twin human violence fight distraction victory swordsman hypnosis sabotage mask blockbuster knight spirit hangar translator sequel hyperspace scavenger assault pleading abyss hostage disability heroine vehicle suicide gun laser beard ship sand smoke captain mission passenger message pod cleaning pilot space dinner aunt uncle creature beast stealing theft mysterious home cruiser blaster impersonation honor totalitarianism sniper nomad android destiny genocide future insult ambush telepathy murder,US en 9.0
16,tt0080684,Star Wars: Episode V - The Empire Strikes Back,"Action,Adventure,Fantasy",8.7,1103740,https://www.imdb.com/title/tt0080684/?ref_=hm_hp_cap_pri_1),"https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.youtube.com/embed/JNwNXF9Y6kY,rescue duel cave training spaceship epic blockbuster sequel escape rebel swamp telekinesis snow creature falling ghost spark mentor alien hero princess empire battle evacuation entrails puppet asteroid robot rebellion tree fog laser pilot fire flame bruise bridge custody bounty weapon premonition friendship confrontation group steam holster shoulder disability heroine scoundrel attack vision capture twin anger transport general admiral cannon abyss frozen soldier fighting monster explosion pistol swordsman battlefield showdown ambush combat pleading hyperspace violence dismemberment fight smuggler computer warrior imagery emperor villain spirituality android strangulation psychokinesis saga decapitation future power betrayal destiny torture tragedy glacier,CA en 9.0
17,tt0407887,The Departed,"Crime,Drama,Thriller",8.5,1124726,https://www.imdb.com/title/tt0407887/?ref_=hm_hp_cap_pri_1),"https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.youtube.com/embed/loJGSgb9PUE,police mobster violence mole undercover cleavage panty pig fuzz dildo pistol lingerie underwear psychoanalysis prostitute psychiatrist infidelity brunette vagina villain hero voyeur voyeurism rat case slender goatee cadet scar priest religion superstition armed pill medicine eyeglass scuffle felon sunglass necking headphone argument aeroplane toothpick supper bacon lividity informer criminal captain detective policeman danger arrest orphan bloodstain gore date kiss impotence subway realtor kitchen bridge tunnel mentor prison drug hospital surveillance interview diner revolver silencer singer pride china spy warrant standoff drawing alleyway snitch river menstruation eating food restaurant limousine governor waterfront chase warehouse prescription pregnancy boat microphone ambulance handcuff airport burial earphone lawyer guilt confession nun flower coffin cemetery graveyard pursuit doubt lie gun deception dying money execution arson fight rain drunkenness montage prologue bar beach heroin screaming van friendship love opera mercilessness bitterness jealousy humiliation witness fire destruction strangulation funeral bag ambush shooting thong shotgun infertility blood swamp apartment remake bedroom church rampage bouncer home water photograph fondling photography drinking interrogation car running tattoo garrote glove whistling pain betrayal computer jail bra stabbing slap anger golf cocaine dock shower rage penitentiary triad espionage wound disfigurement corruption city brutality thug brawl murder death gangster elevator friend investigation informant translator torture singing train explosion robbery kicking knife beating cry racism spanking badge,US en 8.0
18,tt0372784,Batman Begins,"Action,Adventure",8.2,1245113,https://www.imdb.com/title/tt0372784/?ref_=hm_hp_cap_pri_1),"https://m.media-amazon.com/images/M/MV5BZmUwNGU2ZmItMmRiNC00MjhlLTg5YWUtODMyNzkxODYzMmZlXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR9,0,182,268_AL_.jpg",https://www.youtube.com/embed/4glFpheDlSk,superhero well deception justice injustice fear training mentor playboy millionaire cave billionaire mansion manipulation slum toxin gangster vigilantism homelessness courtroom antidote hallucination court trial hotel ship extremist extremism floodlight apartment mustache goatee corruption train firecracker philanthropist stethoscope doctor ice servant city bilingualism armorer scientist rain darkness night physician hero danger panic paranoia handcuff arrest hatred insanity poverty thief cityscape torture necklace robber compound robbery beard port kiss weapon vehicle honda brunette staircase cop pig fuzz capitalist grenade inmate aeroplane arsonist criminal scarecrow fight death bat water party drug revenge butler desperation investigation engineer mobster policeman evacuation cynicism law hope escape betrayal sword idealism electrocution conspiracy impostor heroism bravery courage temple suspense hostage economics photograph drunkenness sabotage cure brutality interrogation thug anger laboratory regret waterfall cape heir beating bodyguard ambush cemetery funeral montage surveillance prisoner drifter riot birthday costume dock ghetto henchman helicopter undercover detective orphan snow mountain monastery monk psychiatrist judge lawyer explosion terrorist gasoline terrorism revolver shotgun silencer assassin drawbridge injection searchlight glacier umbrella violence warrior vigilante pistol showdown jujitsu camouflage dream chase redemption honor disguise secretary psychopath limousine greenhouse blockbuster restaurant rescue prison poison opera murder horse guilt flying flower elevator brawl arson airplane megalomaniac destiny police fire tibet gadget mask,IN en 8.0
19,tt0482571,The Prestige,"Drama,Mystery,Sci-Fi",8.5,1115568,https://www.imdb.com/title/tt0482571/?ref_=hm_hp_cap_pri_1),"https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_UX182_CR0,0,182,268_AL_.jpg",urlnotfound,rivalry illusion obsession magician secret double friend illusionist diary murder magic audience backstage partner death performer cage journal canary bird boy violence stage performance assistant competitor showman trial bullet trap limp costume applause father generator daughter machinery agent theater drunkard casket thunder shovel pantaloon gunshot tavern wilderness fireplace shotgun grief evidence mountain mourning judge prisoner chained letter torch anger fame panic entertainment entertainer bandage fear poster forest coin gate rope guard wood mist loss servant photograph revolver duplicate watch argument restaurant cat stagecoach horse limping hotel pledge solicitor attorney lawyer court beer headstone tombstone notebook shooting lantern girl baby police policeman jail fog lightning storm rain snow cemetery graveyard montage execution gallows candle coffin crypt dove champagne actor invention inventor shackle pregnancy locksmith lock infidelity unfaithfulness adultery colorado love gun wizard bar drunkenness drink drinking water trust train sabotage morgue mistress handcuff funeral friendship fire encryption disguise devotion deception cane blood betrayal axe prison duality transportation sacrifice revenge tragedy twin courtroom electricity suicide revelation pistol hanging corpse impostor seance lingerie,CA en 8.0
